Longitude,Latitude,Field,Dataset,Product,Obj. Id,Track(deg),Swth Wdth(ft),Distance(ft),Duration(s),Elevation(ft),Area Count,Speed(mph),Diff Status,Time,X Offset(ft),Y Offset(ft),Satellites,Hding Veh(deg),Diff Status,Active Rows((1)),VDOP,HDOP,PDOP,Crop Flw(M)(lb/s),Moisture(%),Grain Temp(°F),Elvtr Speed(rpm),Pass Num,Yld Mass(Dry)(lb/ac),Yld Vol(Dry)(bu/ac),Yld Mass(Wet)(lb/ac),Yld Vol(Wet)(bu/ac),Prod(ac/h),Crop Flw(V)(bu/h),Date
-86.99112221,40.47241646,DTC,Harvest (GreenStar 3 Monitor),1,1,95.78,20.00,1.194,1.000,718.25,On,0.814,N/A,10/19/2021,0.00,0.00,N/A,0.00,N/A,0.00,0.00,0.00,0.00,2.513,12.81,-459.67,0.00,1,4583.1,76.37,4583.1,76.37,1.974,150.77,10/19/2021
-86.99111228,40.47241575,DTC,Harvest (GreenStar 3 Monitor),1,2,95.80,20.00,1.391,1.000,718.22,On,0.949,N/A,10/19/2021,0.00,0.00,N/A,0.00,N/A,0.00,0.00,0.00,0.00,4.034,12.82,-459.67,0.00,1,6316.1,105.25,6316.1,105.25,2.300,242.03,10/19/2021
-86.99110681,40.47241537,DTC,Harvest (GreenStar 3 Monitor),1,3,95.91,20.00,1.522,1.000,718.33,On,1.038,N/A,10/19/2021,0.00,0.00,N/A,0.00,N/A,0.00,0.00,0.00,0.00,7.319,12.80,-459.67,0.00,1,10471,174.49,10471,174.49,2.516,439.09,10/19/2021
-86.99110017,40.47241485,DTC,Harvest (GreenStar 3 Monitor),1,4,95.87,20.00,1.851,1.000,718.57,On,1.262,N/A,10/19/2021,0.00,0.00,N/A,0.00,N/A,0.00,0.00,0.00,0.00,8.311,12.61,-459.67,0.00,1,9782.2,163.01,9782.2,163.01,3.059,498.60,10/19/2021
-86.99109171,40.47241457,DTC,Harvest (GreenStar 3 Monitor),1,5,95.10,20.00,2.343,1.000,719.13,On,1.597,N/A,10/19/2021,0.00,0.00,N/A,0.00,N/A,0.00,0.00,0.00,0.00,9.568,12.57,-459.67,0.00,1,8895.6,148.24,8895.6,148.24,3.872,573.99,10/19/2021
-86.99108482,40.47241440,DTC,Harvest (GreenStar 3 Monitor),1,6,94.45,20.00,1.916,1.000,719.54,On,1.306,N/A,10/19/2021,0.00,0.00,N/A,0.00,N/A,0.00,0.00,0.00,0.00,10.23,12.57,-459.67,0.00,1,11627,193.76,11627,193.76,3.167,613.67,10/19/2021
-86.99107294,40.47241395,DTC,Harvest (GreenStar 3 Monitor),1,7,94.02,20.00,3.294,1.000,719.86,On,2.246,N/A,10/19/2021,0.00,0.00,N/A,0.00,N/A,0.00,0.00,0.00,0.00,9.017,12.58,-459.67,0.00,1,5961.8,99.35,5961.8,99.35,5.445,540.93,10/19/2021
-86.99105803,40.47241352,DTC,Harvest (GreenStar 3 Monitor),1,8,93.38,20.00,4.147,1.000,719.96,On,2.828,N/A,10/19/2021,0.00,0.00,N/A,0.00,N/A,0.00,0.00,0.00,0.00,9.127,12.59,-459.67,0.00,1,4793.4,79.88,4793.4,79.88,6.855,547.54,10/19/2021
-86.99104171,40.47241356,DTC,Harvest (GreenStar 3 Monitor),1,9,91.84,20.00,4.541,1.000,720.00,On,3.096,N/A,10/19/2021,0.00,0.00,N/A,0.00,N/A,0.00,0.00,0.00,0.00,8.642,12.52,-459.67,0.00,1,4145.2,69.08,4145.2,69.08,7.505,518.44,10/19/2021
-86.99102421,40.47241388,DTC,Harvest (GreenStar 3 Monitor),1,10,90.43,20.00,4.869,1.000,719.97,On,3.320,N/A,10/19/2021,0.00,0.00,N/A,0.00,N/A,0.00,0.00,0.00,0.00,8.973,12.55,-459.67,0.00,1,4013.8,66.89,4013.8,66.89,8.048,538.28,10/19/2021
